Title,Year,Episodes,Author(s),Kdrama Rating,Kdrama Genres,Kdrama Tags,Kdrama Watchers,Kdrama Popularity,Kdrama Cast,Kdrama Synopsis,WE Creators,WE Genre,WE Rating,WE Views,WE Likes,WE Engagement,WE Subscribers,WE Popularity,WE Synopsis
Between Him and Her,2023,12,,,,,,,,,,,,,,,,,
Death's Game,2023,4,,,,,,,,,"GGULCHAN, LEE WONSIK",drama,9.75,17212303,1738633,0.101,415867,0.013,"He's perennially unemployed, his ex-girlfriend has moved on, and he's just lost all his life savings to a bitcoin scam. Burdened by societal pressures, Yijae Choi decides to take his own life. Insulted by his flippant attitude towards dying, Death comes to punish him with her game: he must experience death over and over again through 13 other lives. But if he can find a way to survive the imminent death coming for these lives, he gets to live out their lifetime. His life was a bust, but what about the lives of others?"
Sweet Home Season 2,2023,8,,,,,,,,,,,,,,,,,
A Bloody Lucky Day,2023,10,,,,,,,,,,,,,,,,,
Secret Playlist,2023,8,,,,,,,,,2F,romance,9.61,36884406,4758899,0.129,664103,0.029,"Hanju is your ordinary university studentâ€¦ except for the fact that she's also the up-and-coming Metube cover artist, PLII. When popular boy group member Levi takes notice of PLII and requests to collaborate, Hanju will do anything to hide her secret identity. But as the two grow closer working on a class project, Hanju's cover begins to unravel. Will Levi discover her secret?"
A Breeze of Love    7.5,2023,8,,,,,,,,,,,,,,,,,
Vigilante,2023,8,,,,,,,,,"CRG, kim kyusam",action,9.23,983466,103185,0.105,54805,0.001,"When Jiyong Kim was a boy, his mother was murdered. The assailant was tried in the court of law but served a mere three and a half years because he “deeply regrets his actions.” 17 years later, Jiyong is a college student, studying to become a police officer. But on the weekends, Jiyong hunts down ex-convicts released by a justice system that has failed to protect the victims, taking justice into his own hands to make up for its shortcomings."
Daily Dose of Sunshine,2023,12,,,,,,,,,,,,,,,,,
Moon in the Day,2023,14,,,,,,,,,,,,,,,,,
Perfect Marriage Revenge,2023,12,,,,,,,,,"Jerryball, Yibambe, so young",romance,9.50,100756845,7564514,0.075,1196662,0.074,"Iju Han isn’t sure where her life went wrong. Once the heiress to a wealthy business magnate, she’s now an ordinary housewife whose main concerns are her nagging in-laws and household chores. Things take a much more tragic turn, however, when she finds her husband confessing his love to her stepsister. Devastated, she runs away, only to be hit by a car and killed. But when she opens her eyes, she finds that she’s awakened a year ago in the past, before her life went awry. Given a second chance at life, Iju vows revenge, determined to take back all that she’s lost."
Brave Citizen,,,,,,,,,,,Kim Junghyun,action,8.78,1087953,127941,0.118,38001,0.001,"Simin So dominated the hapkido scene when she was a student. Seven years later, she comes back as a high school substitute teacher. She’s solely focused on becoming a full-time teacher when she crosses paths with Sugang Han, the school bully. Will Simin achieve her dream of snagging a full-time position despite Sugang’s efforts to bring her down?"
Bump Up Business    6.5,2023,8,,,,,,,,,,,,,,,,,
Doona!,2023,9,,,,,,,,,,,,,,,,,
Taste of Horror,,,,,,,,,,,,,,,,,,,
A Good Day to Be a Dog,2023,14,,,,,,,,,"Lee Hey, Lee Hye",romance,9.84,113873554,11227234,0.099,1433149,0.086,"Hana has made every effort to avoid an inevitable family curse... of turning into a dog after her first kiss. Worst of all, the only way for her to break the curse is to get a second kiss. How will that work when Hana's first kiss is with a guy who is deathly afraid of dogs?!"
The Deal,2023,8,,,,,,,,,,,,,,,,,
Mask Girl,2023,7,,,,,,,,,,,,,,,,,
The Killing Vote,2023,12,,,,,,,,,,,,,,,,,
Concrete Utopia,,,,,,,,,,,,,,,,,,,
Moving,2023,20,,,,,,,,,,,,,,,,,
Happy Merry Ending (Movie),,,,,,,,,,,,,,,,,,,
Sing My Crush,2023,8,,,,,,,,,,,,,,,,,
The Uncanny Counter Season 2:,,,,,,,,,,,,,,,,,,,
D.P. Season 2,2023,6,,,,,,,,,,,,,,,,,
Not Others,2023,12,,,,,,,,,,,,,,,,,
Bump Up Business,,,,,,,,,,,,,,,,,,,
See You in My 19th Life,2023,12,,,,,,,,,"Lee Hey, Lee Hye",romance,9.88,96091538,12532235,0.130,1423217,0.075,"Jieum Ban has an extraordinary ability: she can remember the memories of all her past lives. After her previous life is cut short by a tragic accident, she sets out to reconnect with the people of her past life in her current one. Will memories of her 18th life sabotage romance in her 19th? Or will love endure across different lives?"
Unintentional Love Story Special    8.5,,,,,,,,,,,,,,,,,,,
Bloodhounds,2023,8,,,,,,,,,Jeong Chan,action,9.24,2301171,187346,0.081,115128,0.002,"Bark, bark! Yes, I aim to please and do your bidding. And I’ll certainly never bare my teeth – that is, as long as you don’t show your back. Because it’s a dog-eat-dog world out there. Whether you’re a judge, CEO, boss of the criminal underworld, or a nobody, it doesn’t matter. In the face of money, all are equal."
Love Tractor    8.0,2023,8,,,,,,,,,,,,,,,,,
Black Knight,2023,6,,,,,,,,,lee yun kyun,action,9.40,4244244,496682,0.117,236055,0.003,"Devastating air pollution and severe social divide between residents and refugees. A corrupt, unforgiving and violent social order. This is the world Sawol was born into. After watching the police massacre her mother and adopted family simply because they were refugees, Sawol holds a deep seeded rage and fear of the police. Sawol believes that becoming a delivery agent is the only means to liberate herself, but can she beat the odds stacked up against her to become one?  
"
Happy Merry Ending    7.0,2023,8,,,,,,,,,,,,,,,,,
Duty after School: Part 2,2023,4,,,,,,,,,,,,,,,,,
The Ghost Station,,,,,,,,,,,,,,,,,,,
Joseon Attorney: A Morality,2023,16,,,,,,,,,,,,,,,,,
Duty after School: Part 1,2023,6,,,,,,,,,,,,,,,,,
Unintentional Love Story    8.5,2023,10,,,,,,,,,,,,,,,,,
Divorce Attorney Shin,2023,12,,,,,,,,,,,,,,,,,
Taxi Driver Season 2,2023,16,,,,,,,,,,,,,,,,,
Oh! My Assistant (Movie)    7.5,,,,,,,,,,,,,,,,,,,
Island,2022,6,,,,,,,,,"Inwan Youn, Kyungil Yang",action,8.98,1165919,105621,0.091,68335,0.001,"“I’ll offer you 50 million won for every demon you hunt down.” Jeju Island is swarming with demons out for human blood. When Won Miho, heiress of Daehan Group, finds herself at the mercy of one of these evil demons, she strikes a deal with serial killer, Van, to ensure her survival."
The Director Who Buys Me Dinner    7.0,2022,10,,,,,,,,,,,,,,,,,
"Work Later, Drink Now Season 2",2022,12,,,,,,,,,,,,,,,,,
A Superior Day,2022,8,,,,,,,,,,,,,,,,,
The Forbidden Marriage,2022,12,,,,,,,,,"Chun Ji hye, Sanchaek",historical,8.76,495802,40713,0.082,52038,0.000,"It’s been seven years since King Heon Lee declared a marriage ban in Joseon after the death of his wife. But one day, he comes across a woman named Sorang Ye who claims she can summon the spirits of the dead. Though Sorang was lying about her spiritual powers, she now has no choice but to put on an act for the king.
As the secrets behind the mysterious death of the king’s wife and Sorang’s past start unraveling, the red thread of fate becomes more entangled…
"
Gaus Electronics,2022,12,,,,,,,,,,,,,,,,,
Summer Strike,2022,12,,,,,,,,,,,,,,,,,
Unlock My Boss,2022,12,,,,,,,,,,,,,,,,,
Lucky Romance,2016,16,,,,,,,,,,,,,,,,,
Misaeng: Incomplete Life,2014,20,,8.70,"Business, Drama, Life","Adapted From A Webtoon, Bromance, Hardworking Female Lead, Hardworking Male Lead, Nice Male Lead, Office Worker, Smart Female Lead, Strong Female Lead, Teamwork, Workplace Abuse",29448,-0.239,"Byun Yo Han, Kang Ha Neul, Kang So Ra, Kim Dae Myung, Lee Sung Min, Yim Si Wan","Jang Geu Rae has played the game of Go since he was a child. When his plans of becoming a professional Go player fail, the down-and-out Geu Rae is forced to take an office job as an intern set up for him by an acquaintance’s recommendation for him to a large company called One International.
On his first day of work, Geu Rae meets an eager fellow intern, An Yeong Yi, as they both try to please their new boss, Section Chief Oh Sang Shik, and keep up with the ambitious employee, Jang Baek Ki. But they quickly find that their department is a little different from the others.
Geu Rae does his best at his new job while trying not to lose his humanity along the way.",,,,,,,,,
Save Me,2017,16,,,,,,,,,"Big Hit Ent., LICO",drama,9.87,57348144,4218520,0.074,2401786,0.043,"Seven boys. Best friends. Their fates intertwined through the good times together, but also the tough times, as they have gone their separate ways and suffered greatly as a result. When all is almost lost for these boys, one is given a special chance to go back in time and help his friends fix the mistakes that led them down this path. He'll do anything to save them, but can he? Or is he too late?"
Connect,2022,6,,,,,,,,,shin dae-sung,thriller,9.30,2017838,228628,0.113,115588,0.002,"Seeing life through someone else’s eyes seems appealing, but less so when it’s your own eye that was gouged out by a murderous serial killer. Fortunately for Dongsu Ha, he’s a Connect – an immortal being with supernatural healing ability. Thanks to this strange power, Dongsu is able to see through his stolen eye, which the killer is still using. Dongsu must use this connection and his newfound ability to track down his killer and recover his eye before more innocent people are hurt, but at what cost?"
Oh! My Assistant    7.5,2022,8,,,,,,,,,,,,,,,,,
Weak Hero Class 1,2022,8,,9.10,"Action, Drama, Youth","Adapted From A Webtoon, Bromance, Delinquent Supporting Character, Fight, Friendship, Hidden Past, High School, Introverted Male Lead, Quiet Male Lead, School Bullying, School Setting, Skilled Fighter, Smart Male Lead, Social Issues, Strong Male Lead, Teenager Male Lead, Violence",102071,-0.046,"Choi Hyun Wook, Hong Kyung, Kim Su Gyeom, Lee Yeon, Park Ji Hoon, Shin Seung Ho","Yeon Shi Eun is a model student who ranks at the top of his high school. Physically, Yeon Shi Eun appears weak, but by using his wits and psychology, he fights against the violence that takes place inside and outside of his school.",,,,,,,,,
The Golden Spoon,2022,16,,,,,,,,,HD3,drama,9.11,3266307,370566,0.113,71022,0.003,"Would you trade your poor but loving family for a life of riches? When Seungcheon gets his hands on a magical spoon that allows him to switch lives with his rich best friend, he thinks it's a no-brainer. But life-altering decisions are always accompanied by a sense of doubt, and with only three chances to change his mind, Seungcheon has to decide which of his two possible futures is worth keeping."
Seasons of Blossom,2022,16,,,,,,,,,"HONGDUCK, NEMONE",romance,9.87,82884374,9204290,0.111,1121280,0.063,"Oh, to be young and in love. Oh, to be wild and carefree. The springtime of life is intense, tumultuous, and at times, oh so confusing. Spring, summer, fall and winter -- love blossoms in all seasons."
Today's Webtoon,2022,16,,,,,,,,,,,,,,,,,
Oh! Boarding House (Movie),,,,,,,,,,,,,,,,,,,
The Flatterer,,,,,,,,,,,,,,,,,,,
Jinxed at First,2022,16,,,,,,,,,,,,,,,,,
Yumi's Cells Season 2,2022,14,,,,,,,,,,,,,,,,,
Pumpkin Time (Movie),,,,,,,,,,,,,,,,,,,
Love in Spring    6.5,2022,16,,,,,,,,,,,,,,,,,
The Sound of Magic,2022,6,,,,,,,,,,,,,,,,,
Tomorrow,2022,16,,8.87,"Action, Drama, Fantasy, Thriller","Afterlife, Attempted Suicide, Coma, Death, Grim Reaper Female Lead, Grim Reaper Male Lead, Suicide, Suicide Prevention, Team Leader Female Lead, Underworld",99622,-0.012,"Kim Hae Sook, Kim Hee Sun, Kim Nu Ri, Lee Soo Hyuk, Ro Woon, Rowoon, Yun Ji On, Yun Jin On","Choi Joon Woong seeks a job, but it's hard for him to get hired. One night, he witnesses a man trying to end his life and decides to stop him. He gets acquainted with grim reapers Koo Ryeon and Im Ryoong Gu, who belong to a crisis management team. Their purpose is to prevent people from committing suicide. After Joon Woong ends up in a coma and becomes half-human and half-spirit, he is employed by a company of grim reapers as the newest member of the crisis management team.",Llama,drama,9.66,3705108,500261,0.135,153794,0.003,"Now a major adaptation on streaming. 
Junwung, an unemployed college graduate, slips into a coma when he accidentally falls off of a bridge. While he's in a comatose state, he gets an offer from the crisis response team of the underworld company Flashback to temporarily join their team. If he accepts this offer, he could wake up early from the coma and even get rid of the karma from his past life that’s been holding him back from getting jobs! He’s got nothing better to do tomorrow, so it’s a beautiful day to save lives… with these grim reapers!!"
Blueming    8.5,2022,11,,,,,,,,,,,,,,,,,
International Student Haha,,,,,,,,,,,,,,,,,,,
Cherry Blossoms after Winter    8.5,2022,8,,,,,,,,,,,,,,,,,
Oh! Boarding House    7.0,2022,8,,,,,,,,,,,,,,,,,
I Have Not Done My Best Yet,2022,12,,,,,,,,,,,,,,,,,
Love and Leashes    8.5,,,,,,,,,,,,,,,,,,,
All of Us Are Dead,2022,12,,8.50,"Action, Horror, Sci-Fi, Thriller","Adapted From A Webtoon, Death, Friendship, Gore, High School, School, School Bullying, Slight Romance, Student, Survival, Virus, Zombie Apocalypse, Zombies",101710,0.064,"Cho Yi Hyun, Jo Yi Hyun, Kim Byung Chul, Lomon, Park Ji Hoo, Park Ji Hu, Yoo In Soo, Yoon Chan Young",A high school becomes ground zero for a zombie virus outbreak. Trapped students must fight their way out — or turn into one of the rabid infected.,Joo Dong-geun,thriller,8.97,20534279,1437923,0.070,540060,0.015,"Life at Hyosan High School is nothing specialâ€¦ until the students realize they're in ground zero of a deadly virus that turns its victims into flesh-eating monsters. As the virus tears through their schoolmates in a matter of hours, they realize they have nowhere to run. Trapped in their high school with zombified versions of their friends and teachers, they must find a way to fight -- and escape with their lives."
Dr. Parks Clinic,2022,12,,,,,,,,,,,,,,,,,
"No, Thank You Season 2",2022,12,,,,,,,,,,,,,,,,,
Her Bucket List,2021,10,,,,,,,,,"So-p, Vicente Miranda, Yellow sheep",romance,9.69,10826201,1246079,0.115,334332,0.008,"Rari's entire world falls apart when her boyfriend dies. Overwhelmed with the pain of losing the love of her life, she decides to go through the bucket list they made together before joining him in death. Things take an unexpected turn when fate links her to Hansol, her neighbor who has a painful story of his own. The two embark on a journey to heal their wounds and learn there is more to life than trauma and heartbreak."
Love & Wish,2021,9,,,,,,,,,,,,,,,,,
I Want to Live an Easy Life,2021,5,,,,,,,,,,,,,,,,,
Pumpkin Time,2021,10,,,,,,,,,,,,,,,,,
The World of My 17 Season 2,2021,10,,,,,,,,,,,,,,,,,
Shadow Beauty,2021,13,,,,,,,,,,,,,,,,,
Hellbound,2021,6,,,,,,,,,"Choi Gyuseok, Yeon Sangho",thriller,9.30,3037000,301802,0.099,226971,0.002,"Repent, or face hell on Earth! In Seoul, apparitions have started appearing before those who have done wrong to notify them of when they will die. A new religious group explains these happenings as God condemning people to make them live more righteously. Detective Jin is assigned to investigate the latest incident, just as his wife’s murderer is scheduled to be released from prison."
Dr. Brain,2021,6,,,,,,,,,,,,,,,,,
The Birth of a Nation,2021,2,,,,,,,,,,,,,,,,,
Crime Puzzle,2021,10,,,,,,,,,,,,,,,,,
"Work Later, Drink Now",2021,12,,,,,,,,,,,,,,,,,
Yumi's Cells,2021,14,,,,,,,,,Donggeon Lee,slice of life,9.77,202069261,19941567,0.099,730633,0.151,A story of Yumi and her brain cells.
D.P.,2021,6,,8.80,"Action, Drama, Military","Adapted From A Webtoon, Bromance, Dark Fiction, Desertion, Harassment, Humiliation, Military Abuse, Miniseries, Sexual Assault, Violence",39966,-0.219,"Jung Hae In, Kim Sung Kyun, Koo Kyo Hwan, Son Seok Koo","Private soldier Jun Ho is a confused youth who served in the military normally like other Koreans. One day, he suddenly becomes a member of the military defector arrest team. As such, he is tasked with capturing deserters and must grapple with the more troubling cases of why some soldiers feel they have no other choice but go absent without official leave.",,,,,,,,,
Kingdom: Ashin of the North,,,,,,,,,,,,,,,,,,,
"Nevertheless,",2021,10,,,,,,,,,,,,,,,,,
Shark: The Beginning,,,,,,,,,,,,,,,,,,,
"At a Distance, Spring Is Green",2021,12,,,,,,,,,,,,,,,,,
My Roommate Is a Gumiho,2021,16,,8.37,"Comedy, Fantasy, Romance","Adapted From A Webtoon, Calm Male Lead, Cohabitation, Friendship, Independent Female Lead, Interspecies Romance, Multiple Couples, Multiple Mains, Nice Male Lead, Nine-tailed Fox, Smart Male Lead, Straightforward Female Lead, Supernatural",94650,0.062,"Bae In Hyuk, Jang Ki Yong, Kang Han Na, Kim Do Wan, Lee Hye Ri, Park Kyung Hye","Shin Woo Yeo is a handsome and smart writer, who is actually a 999-year-old nine-tailed fox. To become a human, he collects human energy in a bead. One day, the drunk friend of Lee Dam, a university student, falls asleep on top of an expensive car whose owner is Woo Yeo. While Lee Dam struggles to take her friend away and Woo Yeo trying to help her, Woo Yeo's bead accidentally falls out of his mouth, and Lee Dam unintentionally swallows it. The bead can exist inside of a human for no more than 1 year and, afterward, the bead will break inside of that person causing the person to die. Not wanting to lose his chance in becoming a human, Woo Yeo explains to Lee Dam their predicament and suggests living together until they figure out a solution. Lee Dam, who has never had a boyfriend in her life, now lives with Shin Woo Yeo.",,,,,,,,,
Sometoon 2021,2021,20,,,,,,,,,,,,,,,,,
Imitation,2021,12,,,,,,,,,,,,,,,,,
Happy Children,,,,,,,,,,,,,,,,,,,
Taxi Driver,2021,16,,8.80,"Action, Crime, Drama, Thriller","Adapted From A Webtoon, Death Of A Mother, Investigation, Police Officer Male Lead, Prosecutor Female Lead, Revenge, Secret Organization, Smart Female Lead, Strong Male Lead, Taxi Driver Male Lead",43385,-0.206,"Esom, Kim Eui Sung, Lee Je Hoon, Pyo Ye Jin","Do Gi has lived more honestly than anyone else as an officer in the Special Forces. Yet, when a serial killer murders his mother, he spends his days in agony. While feeling wronged and broken, Do Gi meets Jang Sung Chul, who recruits Do Gi to work for his company, Rainbow Taxi. Far from an ordinary taxi service, Rainbow Taxi is a secret organization that avenges victims whom the law didn’t protect. Here, Do Gi becomes a star driver who delivers satisfying revenge. Meanwhile, Ha Na is a prosecutor who investigates Rainbow Taxi. She is furious with their lawless behavior, but at the same time, she feels confused about seeing them solve cases that the law cannot. Between those who believe that revenge embodies true justice and those who pursue the outlaws, Do Gi seeks what justice truly means.",,,,,,,,,
The Sweet Blood,2021,15,,,,,,,,,,,,,,,,,
Navillera,2021,12,,9.00,"Drama, Life","Adapted From A Webtoon, Ballet, Bromance, Character Development, Father-Son Relationship, Grandpa-Granddaughter Relationship, Kind Male Lead, Life Lesson, Second Chance, Unusual Friendship",36739,-0.268,"Park In Hwan, Song Kang","A 70-year-old with a dream and a 23-year-old with a gift lift each other out of harsh realities and rise to the challenge of becoming ballerinos.
Shim Deok Chool has had a life long dreaming of performing ballet. He is 70-years-old and retired from his job as a post office employee. Due to life situations, he put aside his dream of becoming a ballet dancer and worked a normal job to support his family. Now, Shim Deok Chool makes the decision to pursue his dream again. His family, including his wife and adult children, are not happy with his decision, but Shim Deok Chool does not waver in pursuing his life long dream. He joins a ballet company to learn ballet. There, he meets Lee Chae Rok.
Lee Chae Rok is a 23-year-old man. While growing up, he played different sports like baseball, swimming, and soccer, but he wasn't talented in any of those activities. He then became interested in ballet. His mother was a ballet dancer, but she died from a disease when Lee Chae Rok was young. His father later went bankrupt. Lee Chae Rok learned that he has a talent for ballet, but, after pursuing ballet, he barely has contact with his father and he has a hard time supporting himself financially. Going through hard times, his desire for ballet fades away. At this time, Sim Deok Chool appears in front of him.",,,,,,,,,
Love Alarm Season 2,2021,6,,,,,,,,,,,,,,,,,
Must You Go?,2021,8,,,,,,,,,,,,,,,,,
How to Be Thirty,2021,15,,,,,,,,,,,,,,,,,
Sweet Home,,,,8.70,"Action, Drama, Horror, Sci-Fi, Supernatural","Adapted From A Webtoon, Attempted Suicide, Character Development, Death, Gore, Monster, Monsters, Multiple Mains, Nice Male Lead, Paranormal, School Bullying, Supernatural Phenomena, Survival, Trauma",119232,0.092,"Go Min Si, Go Youn Jung, Kim Gab Soo, Kim Nam Hee, Kim Sang Ho, Lee Do Hyun, Lee Jin Wook, Lee Si Young, Park Gyu Young, Song Kang","Following the death of his family in an accident, loner Cha Hyun Soo moves to a new apartment. His quiet life is soon disturbed by strange incidents that start occurring in his apartment, and throughout Korea. As people start to turn into monsters, Hyun Soo and the other residents try to survive.","Carnby Kim, Youngchan Hwang",thriller,9.85,269093451,19291297,0.072,3454632,0.197,"After an unexpected family tragedy, a reclusive high school student is forced to leave his home -- only to face something much scarier: a reality where monsters are trying to wipe out humanity. Now he must fight alongside a handful of reluctant heroes to try and save the world before it's too late. Now a Netflix Original Series."
True Beauty,2020,16,,8.30,"Comedy, Drama, Romance, Youth","Adapted From A Webtoon, Beauty, Beauty Standards, Hidden Identity, High School, Makeover, Nice Female Lead, Popular Male Lead, Secret Crush, Smart Male Lead, Transformation",162611,0.326,"Cha Eun Woo, Hwang In Youp, Jang Hye Jin, Moon Ga Young, Mun Ka Young, Park Ho San, Park Yoo Na, Park You Na","True Beauty is a romantic comedy about a high school girl Lim Ju Gyeong, who rises to pretty girl fame after she masters the art of make-up from YouTube. She turns into a goddess because of her makeup skills, but would rather die than reveal her bare face to anyone. It tells her love story with the only boy that saw her without makeup, Lee Su Ho. Lee is an attractive and handsome boy who appears cold because of his dark past but is actually very caring. They grow when they meet each other sharing their secrets and finding love with each other, but can Su Ho make Ju Gyeong find her true beauty?",Yaongyi,romance,9.53,1029642725,55631209,0.054,7496872,0.734,"After binge-watching beauty videos online, a shy comic book fan masters the art of makeup and sees her social standing skyrocket as she becomes her school's prettiest pretty girl overnight. But will her elite status be short-lived? How long can she keep her real self a secret? And what about that cute boy who knows her secret?"
The Uncanny Counter    9.0,2020,16,,,,,,,,,,,,,,,,,
"No, Thank You",2020,12,,,,,,,,,,,,,,,,,
Love Revolution,2020,30,,,,,,,,,,,,,,,,,
Amanza,2020,10,,,,,,,,,,,,,,,,,
Hanging On,2020,10,,,,,,,,,,,,,,,,,
Steel Rain 2: Summit,,,,,,,,,,,,,,,,,,,
Pop Out Boy!,2020,10,,,,,,,,,,,,,,,,,
Backstreet Rookie,2020,16,,,,,,,,,,,,,,,,,
Sometoon 2020,2020,10,,,,,,,,,,,,,,,,,
In Your Dream,2020,8,,,,,,,,,,,,,,,,,
